Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Шахрай;Дарина;Галинаівна;Жіноча;2007-11-07;Детектив;селище Нова Каховка;узвіз 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Токмак, 50770;+380 10 021-98-81;avrelii61@example.org
Прокопович;Олег;Азарович;Чоловіча;1999-09-04;Перекладач;селище Хуст;парк Літакова, буд. 8, Покров, 71051;042 61 37;ipanchuk@example.net
Ільченко;Олександр;Єфремович;Чоловіча;1999-03-12;Стропальник;місто Тростянець;набережна Кондрашина, буд. 6, Краматорськ, 25745;+380 84 163-96-14;lespelekh@example.com
Даценко;Герман;Михайлоович;Чоловіча;1982-11-13;Етнограф;місто Радехів;вулиця Романтиків, буд. 4, Дубровиця, 57486;165-64-19;kyryloorlyk@example.org
Щириця;Галина;Оленаівна;Жіноча;1966-12-24;Юрист;село Красилів;шосе Стельмаха, буд. 96, Шахтарськ, 15086;082 150-37-16;mykytalukash@example.net
Дацюк;Ярина;Віолеттаівна;Жіноча;1994-08-29;Лікар;селище Жовква;узвіз Чубаївський, буд. 4 кв. 85, Красноперекопськ, 96872;050 396-29-34;rtsarenko@example.org
Єфименко;Ада;Златославаівна;Жіноча;1967-08-07;Інженер;місто Ржищів;площа Сєрова, буд. 16 кв. 474, Волочиськ, 19685;+380 35 478-43-61;semenchenkodan@example.org
Смик;Руслан;Венедиктович;Чоловіча;1996-03-17;Мінералог;місто Скадовськ;набережна Ковиловий, буд. 926 кв. 798, Лохвиця, 33114;+380 31 739-87-51;spas14@example.net
Василечко;Альбіна;Оксеніяівна;Жіноча;1994-01-26;Ювелір;хутір Географія Вільнянська;площа Балтський 5-й, буд. 468, Львів, 91564;088-95-54;liliia92@example.com
Охримович;Алла;Пріскаівна;Жіноча;1958-04-01;Льотчик;хутір Херсон;вулиця Станційна 2-га, буд. 29, Корсунь-Шевченківський, 42595;+380 11 949-64-82;ugerus@example.net
Лазаренко;Петро;Трохимович;Чоловіча;1941-03-05;Адвокат;хутір Овруч;узвіз Самарська, буд. 4, Волочиськ, 12570;+380 (05) 229-65-60;jzakharenko@example.net
Онуфрієнко;Венедикт;Артемович;Чоловіча;2008-03-04;Палеонтолог;хутір Івано-Франківськ;провулок Гена Іоганна, буд. 2, Зеленодольськ, 16828;070-36-56;nadiia42@example.org
Стус;Валентин;Семенович;Чоловіча;2002-01-23;Громадський діяч;хутір Комарно;вулиця 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Гнівань, 03590;+380 30 790-83-39;priska12@example.com
Дзюба;Світлана;Даннаівна;Жіноча;1971-03-04;Секретар;місто Перечин;проспект Аптекарський, буд. 26, Червоносів, 24237;+380 (68) 240-73-04;iatsenkolukian@example.net
Бакуменко;Златослава;Христинаівна;Жіноча;1976-07-06;Маркетолог;селище Глиняни;площа Каманіна, буд. 824, Київ, 39879;431-07-62;balabanorysia@example.org
Фастенко;Анастасія;Сніжанаівна;Жіноча;2000-03-10;Єгер;місто Угнів;площа Лодочний, буд. 03 кв. 8, Скадовськ, 61780;+380 (92) 045-96-67;tarasavramenko@example.net
Деревʼянко;Тарас;Миронович;Чоловіча;1969-06-17;Машиніст;хутір Татарбунари;провулок Кристаловського, буд. 99 кв. 75, Старий Крим, 39157;+380 (30) 078-91-88;aleksandrenkoprokhir@example.net
Гайворонський;Сергій;Костянтинович;Чоловіча;2006-02-07;Електромонтажник;селище Лохвиця;узвіз Літня, буд. 24 кв. 3, Рівне, 90681;+380 08 658-07-88;orkhyp88@example.net
Чаленко;Григорій;Зиновійович;Чоловіча;1945-08-05;Флорист;село Білопілля;площа Дачна, буд. 22 кв. 2, Вознесенівка, 13546;+380 25 029 92 63;labasymon@example.org
Стус;Франц;Сергійович;Чоловіча;2003-03-02;Ді-джей;хутір Добропілля;набережна Педагогічний, буд. 7, Мена , 20341;042 542-37-33;amvrosiishevchenko@example.com
Перепелиця;Тетяна;Віраівна;Жіноча;1939-08-20;Гицель;хутір Березань ;сквер Балтський 5-й, буд. 9, Попасна, 32428;+380 70 358 35 47;leopoldfartushniak@example.org
Ященко;Микита;Олексаович;Чоловіча;1977-10-29;Мінералог;хутір Чуднів;шосе Брестська, буд. 3, Ржищів, 12089;+380 14 439-75-70;khoma87@example.net
Харченко;Ярина;Соломіяівна;Жіноча;1992-10-20;Психолог;село Дружківка;вулиця Горизонтальна, буд. 556, Славута, 74542;+380 (73) 077-71-42;xfastenko@example.com
Лисенко;Данило;Глібович;Чоловіча;1997-02-27;Маркетолог;хутір Дергачі;узвіз Лютневий 2-й, буд. 909, Світлодарськ, 61973;219-09-00;rozaliialemeshko@example.com
Гузенко;Гордій;Максимович;Чоловіча;1954-04-01;Психолог;селище Лозова ;парк Марата 2-й, буд. 86, Міусинськ, 49011;035 980 95 26;danylovenhrynovych@example.com
Уманець;Єва;Анжелаівна;Жіноча;1997-08-26;Промисловець;село Перевальськ;набережна Штильова, буд. 791, Миронівка, 77669;+380 43 602-83-69;havriushenkoihnat@example.org
Бараник;Єфрем;Ростиславович;Чоловіча;1948-07-08;Графік;село Переяслав;парк Академіка Вавилова, буд. 601 кв. 7, Чуднів, 33418;825-49-14;hlibbezditko@example.com
Ільєнко;Зорян;Орестович;Чоловіча;1997-11-28;Математик;селище Бережани;сквер Самарська, буд. 03 кв. 452, Привілля, 98989;032 835-93-67;zsirobaba@example.com
Гавриш;Світлана;Богуславаівна;Жіноча;1967-05-27;Бізнесмен;селище Молочанськ;провулок Архітекторська, буд. 68 кв. 05, Генічеськ, 26188;+380 67 687-78-52;hannaalekseienko@example.org
Чаленко;Теодор;Орестович;Чоловіча;1975-05-27;Прокурор;село Нововолинськ;проспект Маринеско узвіз, буд. 02 кв. 33, Сколе, 74034;545-17-59;fbalaban@example.com
Мазепа;Ілля;Семенович;Чоловіча;2001-09-24;Драматург;селище Вижниця;шосе Мала Садова, буд. 30, Горішні Плавні, 18784;031 800 31 45;ustenkosemen@example.net
Годунок;Софія;Святославаівна;Жіноча;2004-12-18;Агроном;хутір Довжанськ;вулиця Чорноморський 12-й, буд. 37, Боярка, 52609;+380 60 500-54-87;iakiv67@example.com
Калениченко;Кирило;Альбертович;Чоловіча;1976-11-17;Геолог;селище Вишгород;узвіз Лінія 55-та, буд. 98 кв. 562, Донецьк, 04551;+380 21 271-98-80;vkhomyk@example.net
Шелест;Ада;Василинаівна;Жіноча;1949-03-08;Гірничий інженер;місто Березань ;проспект Польовий 1-й, буд. 27 кв. 10, Світловодськ, 20335;032 717 38 04;eandriiovych@example.net
Архимович;Остап;Степанович;Чоловіча;1954-10-23;Скульптор;селище Феодосія;набережна Аеропортівський 2-й, буд. 9 кв. 66, Скалат, 23478;+380 (10) 303-54-28;artemenkovolodymyr@example.org
Чала;Златослава;Алінаівна;Жіноча;2003-02-07;Програміст;селище Овруч;площа Банний, буд. 68 кв. 123, Боярка, 57186;+380 87 155-14-08;artymyshynazar@example.org
Тихий;Андрій;Яремаович;Чоловіча;1999-10-19;Випробувач;хутір Ананьїв;парк Ползунова 1-й, буд. 17 кв. 69, Кам'янка (Черкаська область), 82422;401-57-83;bazavluchenkoarsen@example.net
Сиротенко;Артем;Данович;Чоловіча;1997-09-09;Сантехнік;село Лозова ;сквер Глазунова 2-й, буд. 1, Курахове, 80739;401-81-99;ihor23@example.net
Калениченко;Ольга;Клавдіяівна;Жіноча;2005-04-06;Візажист;хутір Суходільськ;площа Васнецова, буд. 6 кв. 129, Остер , 53980;+380 35 422 33 51;lytvynhlib@example.net
Христенко;Златослава;Амаліяівна;Жіноча;1991-04-21;Соціолог;селище Генічеськ;площа Авдєєва-Чорноморського, буд. 108, Алупка, 86182;+380 76 498-98-25;uzaika@example.org
